Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Pituitary apoplexy,Endocrine and Metabolic Diseases,sudden severe headache; vision loss; double vision; nausea; vomiting; altered consciousness; hormonal deficiencies; shock (severe cases),Endocrine disorders (Pituitary vascular emergency),vata
Prolactinoma (pituitary adenoma),Endocrine and Metabolic Diseases,galactorrhea; amenorrhea; infertility; decreased libido; erectile dysfunction; headaches; vision loss (bitemporal hemianopia); fatigue,Endocrine disorders (Pituitary tumor),kapha
Acromegaly (GH excess),Endocrine and Metabolic Diseases,enlarged hands and feet; coarse facial features; jaw enlargement; deep voice; excessive sweating; joint pain; hypertension; diabetes; headaches; vision loss; fatigue; sleep apnea,Endocrine disorders (Pituitary GH excess),kapha
Gigantism,Endocrine and Metabolic Diseases,excessive height; enlarged hands and feet; coarse facial features; joint pain; headaches; delayed puberty; vision problems; glucose intolerance,Endocrine disorders (Pituitary GH excess in childhood),kapha
Cushing’s disease (pituitary ACTH tumor),Endocrine and Metabolic Diseases,central obesity; moon face; buffalo hump; purple striae; hypertension; diabetes; osteoporosis; muscle weakness; depression; hirsutism; acne; irregular menstruation,Endocrine disorders (Pituitary—ACTH excess),kapha
Sheehan’s syndrome,Endocrine and Metabolic Diseases,failure to lactate postpartum; amenorrhea; fatigue; cold intolerance; weight loss; loss of pubic/axillary hair; hypotension; hypoglycemia; depression,Endocrine disorders (Pituitary necrosis—postpartum),vata
Craniopharyngioma (endocrine effect),Endocrine and Metabolic Diseases,headaches; vision loss; delayed growth/puberty; obesity; fatigue; hormonal deficiencies; nausea; vomiting; excessive thirst; frequent urination,Endocrine disorders (Pituitary tumor),kapha
Empty sella syndrome,Endocrine and Metabolic Diseases,headaches; vision problems; fatigue; irregular periods; infertility; decreased libido; erectile dysfunction; hormonal deficiencies (mild),Endocrine disorders (Pituitary structural),vata
Kallmann syndrome,Endocrine and Metabolic Diseases,delayed puberty; absent menstruation (females); small testes (males); infertility; decreased libido; anosmia (loss of smell); fatigue; osteoporosis,Endocrine disorders (Genetic pituitary-hypothalamic),vata
Primary hyperparathyroidism,Endocrine and Metabolic Diseases,kidney stones; bone pain; abdominal pain; psychiatric symptoms (depression; confusion); nausea; constipation; fatigue; muscle weakness; frequent urination,Endocrine disorders (Parathyroid—PTH excess),pitta
Secondary hyperparathyroidism,Endocrine and Metabolic Diseases,bone pain; fractures; muscle weakness; fatigue; itching; nausea; vomiting; skeletal deformities (in chronic kidney disease),Endocrine disorders (Parathyroid—renal failure),vata
Tertiary hyperparathyroidism,Endocrine and Metabolic Diseases,bone pain; fractures; fatigue; muscle weakness; kidney stones; abdominal pain; anorexia; confusion; pruritus; hypertension,Endocrine disorders (Parathyroid—autonomous PTH secretion after CKD),vata
Hypoparathyroidism,Endocrine and Metabolic Diseases,tingling in lips/fingers; muscle cramps; spasms (tetany); seizures; brittle nails; hair loss; depression; anxiety; dry skin; cataracts,Endocrine disorders (Parathyroid—low PTH),vata
Pseudohypoparathyroidism,Endocrine and Metabolic Diseases,tingling; muscle cramps; spasms; seizures; round face; short stature; obesity; shortened fingers/toes (brachydactyly); developmental delay,Endocrine disorders (Parathyroid—hormone resistance),vata
Parathyroid carcinoma,Endocrine and Metabolic Diseases,neck mass; hoarseness; difficulty swallowing; kidney stones; bone pain; fractures; fatigue; constipation; confusion; nausea; severe hypercalcemia symptoms,Endocrine disorders (Parathyroid tumor),pitta
Hypercalcemia of malignancy (non-cancer group; metabolic effect),Endocrine and Metabolic Diseases,nausea; vomiting; constipation; abdominal pain; confusion; lethargy; muscle weakness; frequent urination; excessive thirst; dehydration; arrhythmias,Endocrine disorders (Metabolic),pitta
Familial hypocalciuric hypercalcemia,Endocrine and Metabolic Diseases,mild fatigue; muscle weakness; constipation; abdominal pain; kidney stones (rare); often asymptomatic,Endocrine disorders (Genetic calcium disorder),pitta
Vitamin D–resistant rickets,Endocrine and Metabolic Diseases,bone pain; bowing of legs; short stature; delayed growth; dental problems; muscle weakness; fractures; skeletal deformities,Endocrine disorders (Parathyroid/renal calcium metabolism),vata
Hungry bone syndrome,Endocrine and Metabolic Diseases,severe hypocalcemia after parathyroidectomy; tingling; muscle cramps; tetany; seizures; fatigue; irritability; cardiac arrhythmias,Endocrine disorders (Metabolic—post-surgical),vata
Insulinoma,Endocrine and Metabolic Diseases,recurrent episodes of hypoglycemia; sweating; tremors; palpitations; hunger; anxiety; irritability; confusion; blurred vision; seizures; loss of consciousness; weight gain (due to frequent eating),Endocrine disorders (Pancreatic neuroendocrine tumor),vata
Glucagonoma,Endocrine and Metabolic Diseases,weight loss; necrolytic migratory erythema (skin rash); diabetes mellitus; diarrhea; anemia; glossitis; stomatitis; depression; thromboembolism,Endocrine disorders (Pancreatic neuroendocrine tumor),pitta
Somatostatinoma,Endocrine and Metabolic Diseases,diabetes mellitus; gallstones; steatorrhea; diarrhea; weight loss; abdominal pain; anemia; jaundice (if tumor obstructs bile duct),Endocrine disorders (Pancreatic neuroendocrine tumor),vata
VIPoma (Verner-Morrison syndrome),Endocrine and Metabolic Diseases,watery diarrhea; hypokalemia; dehydration; muscle weakness; flushing; nausea; abdominal cramps; achlorhydria; weight loss,Endocrine disorders (Pancreatic neuroendocrine tumor),pitta
Pancreatic polypeptide–secreting tumor,Endocrine and Metabolic Diseases,abdominal pain; diarrhea; weight loss; poor appetite; mild diabetes; hepatomegaly (if metastasis present); fatigue,Endocrine disorders (Pancreatic neuroendocrine tumor),pitta
Nesidioblastosis (hyperinsulinism of infancy),Endocrine and Metabolic Diseases,recurrent hypoglycemia; jitteriness; lethargy; seizures; poor feeding; irritability; apnea; cyanosis; developmental delay if untreated,Endocrine disorders (Pancreatic hyperinsulinism),vata
Islet cell hyperplasia,Endocrine and Metabolic Diseases,recurrent hypoglycemia; sweating; tremors; palpitations; confusion; seizures; weight gain due to frequent eating,Endocrine disorders (Pancreatic hyperinsulinism),vata
Hyperinsulinemic hypoglycemia (non-tumor),Endocrine and Metabolic Diseases,sweating; shakiness; palpitations; irritability; fatigue; blurred vision; confusion; seizures; loss of consciousness; weight gain (due to compensatory eating),Endocrine disorders (Glucose metabolism),vata
Post-gastric bypass hypoglycemia,Endocrine and Metabolic Diseases,dizziness; sweating; palpitations; confusion; weakness; blurred vision; tremors; fatigue; hunger; fainting episodes after meals,Endocrine disorders (Glucose metabolism complication),vata
MEN1 syndrome (with endocrine tumors),Endocrine and Metabolic Diseases,hyperparathyroidism (kidney stones; bone pain); pancreatic neuroendocrine tumors (diarrhea; ulcers; hypoglycemia); pituitary adenomas (headache; vision problems; hormonal imbalance); fatigue; weight loss,Endocrine disorders (Genetic syndrome),pitta
Hypercholesterolemia (familial),Endocrine and Metabolic Diseases,xanthomas; xanthelasma; corneal arcus; premature atherosclerosis; angina; myocardial infarction; peripheral artery disease,Metabolic disorders (Lipid disorder),kapha
Polygenic hypercholesterolemia,Endocrine and Metabolic Diseases,elevated cholesterol; obesity; hypertension; xanthelasma (sometimes); increased risk of coronary artery disease; stroke; peripheral vascular disease,Metabolic disorders (Lipid disorder),kapha
Hypertriglyceridemia (primary),Endocrine and Metabolic Diseases,eruptive xanthomas; lipemia retinalis; abdominal pain; pancreatitis; hepatomegaly; fatigue; obesity; increased risk of heart disease,Metabolic disorders (Lipid disorder),kapha
Familial combined hyperlipidemia,Endocrine and Metabolic Diseases,high cholesterol; high triglycerides; obesity; xanthomas (sometimes); premature coronary artery disease; stroke; pancreatitis,Metabolic disorders (Lipid disorder),kapha
Dysbetalipoproteinemia (Type III hyperlipidemia),Endocrine and Metabolic Diseases,palmar xanthomas; tuberous xanthomas; premature atherosclerosis; peripheral vascular disease; angina; stroke,Metabolic disorders (Lipid disorder),kapha
Chylomicronemia syndrome,Endocrine and Metabolic Diseases,eruptive xanthomas; lipemia retinalis; recurrent abdominal pain; pancreatitis; hepatosplenomegaly; nausea; vomiting; fatigue,Metabolic disorders (Lipid disorder),kapha
Familial hyperapoB lipoproteinemia,Endocrine and Metabolic Diseases,high cholesterol; premature coronary artery disease; obesity; metabolic syndrome; xanthelasma (rare),Metabolic disorders (Lipid disorder),kapha
Sitosterolemia,Endocrine and Metabolic Diseases,xanthomas; premature atherosclerosis; hemolytic anemia; arthritis; arthralgia; tendon thickening,Metabolic disorders (Lipid disorder—plant sterol metabolism),kapha
Tangier disease (HDL deficiency),Endocrine and Metabolic Diseases,enlarged orange tonsils; peripheral neuropathy; hepatosplenomegaly; corneal clouding; premature atherosclerosis; lymphadenopathy,Metabolic disorders (Lipid disorder),kapha
Lipoprotein lipase deficiency,Endocrine and Metabolic Diseases,recurrent pancreatitis; abdominal pain; hepatosplenomegaly; eruptive xanthomas; lipemia retinalis; nausea; vomiting,Metabolic disorders (Lipid disorder),kapha
Osteoporosis (primary),Endocrine and Metabolic Diseases,back pain; loss of height; stooped posture (kyphosis); fractures (spine; hip; wrist); bone fragility; decreased mobility,Metabolic bone disorders,vata
Osteogenesis imperfecta,Endocrine and Metabolic Diseases,frequent fractures; bone deformities; short stature; blue sclerae; hearing loss; dental abnormalities (dentinogenesis imperfecta); joint laxity,Metabolic bone disorders (Genetic connective tissue disorder),vata
Paget’s disease of bone (metabolic bone form),Endocrine and Metabolic Diseases,bone pain; enlarged/deformed bones; fractures; arthritis; hearing loss (if skull involved); headache; nerve compression symptoms,Metabolic bone disorders,vata
Osteomalacia,Endocrine and Metabolic Diseases,bone pain; muscle weakness; waddling gait; fractures; fatigue; difficulty walking; deformities (severe cases),Metabolic bone disorders (Vitamin D deficiency-related),vata
Rickets (nutritional vitamin D deficiency),Endocrine and Metabolic Diseases,bowed legs; delayed growth; bone pain; skeletal deformities; enlarged wrists/ankles; dental problems; muscle weakness,Metabolic bone disorders,vata
Hypophosphatasia,Endocrine and Metabolic Diseases,premature tooth loss; bone pain; recurrent fractures; skeletal deformities; muscle weakness; rickets-like features; respiratory difficulties (severe infantile form),Metabolic bone disorders (Genetic enzyme deficiency),vata
Fibrous dysplasia (McCune-Albright syndrome),Endocrine and Metabolic Diseases,bone pain; fractures; bone deformities; café-au-lait skin spots; early puberty; endocrine abnormalities (thyroid; adrenal; pituitary involvement),Metabolic bone disorders (Genetic),vata
Tumor-induced osteomalacia,Endocrine and Metabolic Diseases,bone pain; fractures; muscle weakness; difficulty walking; hypophosphatemia-related fatigue; skeletal deformities (untreated),Metabolic bone disorders (Paraneoplastic),vata
Hyperostosis frontalis interna,Endocrine and Metabolic Diseases,thickened frontal skull bones (incidental); headache; dizziness; seizures (rare); obesity; hormonal disturbances (in some cases),Metabolic bone disorders,kapha
Osteitis fibrosa cystica,Endocrine and Metabolic Diseases,bone pain; fractures; skeletal deformities; brown tumors (cystic bone lesions); kidney stones; fatigue; muscle weakness,Metabolic bone disorders (Parathyroid-related),vata
Phenylketonuria (PKU),Endocrine and Metabolic Diseases,developmental delay; intellectual disability; seizures; musty odor in urine; fair skin and hair; eczema; behavioral problems; irritability; psychiatric issues,Inborn errors of metabolism (Amino acid metabolism),vata
Maple syrup urine disease,Endocrine and Metabolic Diseases,sweet odor of urine; poor feeding; vomiting; lethargy; seizures; developmental delay; metabolic acidosis; failure to thrive,Inborn errors of metabolism (Amino acid metabolism),vata
Homocystinuria,Endocrine and Metabolic Diseases,developmental delay; intellectual disability; myopia; lens dislocation; skeletal deformities (tall stature; scoliosis; pectus); thromboembolism; seizures,Inborn errors of metabolism (Amino acid metabolism),vata
Alkaptonuria,Endocrine and Metabolic Diseases,dark urine; ochronosis (bluish-black pigmentation of cartilage/skin); arthritis; joint pain; heart valve disease; kidney stones,Inborn errors of metabolism (Amino acid metabolism),vata
Galactosemia,Endocrine and Metabolic Diseases,vomiting; diarrhea; jaundice; hepatomegaly; failure to thrive; cataracts; intellectual disability; sepsis (E. coli); hypoglycemia,Inborn errors of metabolism (Carbohydrate metabolism),vata
Fructose intolerance (hereditary),Endocrine and Metabolic Diseases,vomiting; abdominal pain; diarrhea; sweating; tremors; hypoglycemia; seizures; hepatomegaly; jaundice; failure to thrive,Inborn errors of metabolism (Carbohydrate metabolism),vata
Glycogen storage disease type I (Von Gierke’s),Endocrine and Metabolic Diseases,hypoglycemia; hepatomegaly; lactic acidosis; hyperuricemia; hyperlipidemia; growth retardation; doll-like face; nosebleeds,Inborn errors of metabolism (Glycogen metabolism),vata
Glycogen storage disease type II (Pompe’s),Endocrine and Metabolic Diseases,muscle weakness; hypotonia; cardiomegaly; respiratory distress; failure to thrive; hepatomegaly; delayed motor development,Inborn errors of metabolism (Glycogen metabolism),vata
Glycogen storage disease type V (McArdle’s),Endocrine and Metabolic Diseases,exercise intolerance; muscle cramps; muscle weakness; myoglobinuria; fatigue; rhabdomyolysis (after exertion),Inborn errors of metabolism (Glycogen metabolism),vata
Medium-chain acyl-CoA dehydrogenase deficiency (MCAD),Endocrine and Metabolic Diseases,vomiting; lethargy; hypoglycemia (fasting-related); seizures; hepatomegaly; coma; sudden death in infants,Inborn errors of metabolism (Fatty acid oxidation),vata
Polycystic ovary syndrome (PCOS),Endocrine and Metabolic Diseases,irregular menstruation; infertility; obesity; acne; hirsutism; alopecia; insulin resistance; acanthosis nigricans; ovarian cysts; mood swings,Endocrine/metabolic disorders (Reproductive),kapha
Premature ovarian failure,Endocrine and Metabolic Diseases,amenorrhea; infertility; hot flashes; night sweats; mood swings; vaginal dryness; osteoporosis; decreased libido; fatigue,Endocrine disorders (Reproductive),vata
Hypogonadism (male),Endocrine and Metabolic Diseases,decreased libido; erectile dysfunction; infertility; small testes; gynecomastia; loss of body hair; muscle weakness; fatigue; depression; osteoporosis,Endocrine disorders (Reproductive),vata
Klinefelter syndrome,Endocrine and Metabolic Diseases,tall stature; small testes; gynecomastia; infertility; reduced facial/body hair; decreased muscle mass; learning difficulties; speech delay; osteoporosis,Endocrine disorders (Genetic),vata
Turner syndrome,Endocrine and Metabolic Diseases,short stature; webbed neck; broad chest; amenorrhea; infertility; lymphedema (hands/feet at birth); cardiac anomalies (coarctation); osteoporosis; learning difficulties (non-verbal),Endocrine disorders (Genetic),vata
Androgen insensitivity syndrome,Endocrine and Metabolic Diseases,primary amenorrhea; female external genitalia with undescended testes; absent uterus; infertility; tall stature; scant pubic/axillary hair,Endocrine disorders (Genetic),vata
Metabolic syndrome (syndrome X),Endocrine and Metabolic Diseases,central obesity; hypertension; insulin resistance; dyslipidemia; increased waist circumference; fatigue; high triglycerides; low HDL; cardiovascular risk,Endocrine/metabolic disorders,kapha
Obesity (endocrine/metabolic type),Endocrine and Metabolic Diseases,excessive body weight; fatigue; breathlessness; snoring; sleep apnea; joint pain; diabetes; hypertension; dyslipidemia; depression,Endocrine/metabolic disorders,kapha
Lipodystrophy (congenital/acquired),Endocrine and Metabolic Diseases,abnormal fat distribution (loss in limbs; accumulation in face/neck); insulin resistance; diabetes; hypertriglyceridemia; acanthosis nigricans; fatty liver; muscular appearance,Endocrine/metabolic disorders,vata
Hyperuricemia (metabolic gout precursor),Endocrine and Metabolic Diseases,joint pain (big toe; ankles; knees); swelling; redness; recurrent gout attacks; kidney stones; tophi (chronic); fatigue; limited mobility,Endocrine/metabolic disorders,pitta
Carcinoid syndrome,Endocrine and Metabolic Diseases,flushing (face and upper chest); diarrhea; abdominal cramps; wheezing; shortness of breath; rapid heartbeat; low blood pressure (during flushing episodes); pellagra-like skin changes (due to niacin deficiency); weight loss; fatigue; swelling of ankles; right-sided heart valve disease (tricuspid regurgitation; pulmonary stenosis); facial telangiectasia,Endocrine disorders (Neuroendocrine tumor syndrome),pitta
Major depressive disorder,Mental health / Psychiatric disorders,persistent sadness; loss of interest or pleasure; fatigue; difficulty concentrating; changes in appetite; weight gain or loss; insomnia; hypersomnia; feelings of worthlessness; guilt; suicidal thoughts; psychomotor agitation or retardation,mood disorder (depressive type),vata;pitta
Persistent depressive disorder (dysthymia),Mental health / Psychiatric disorders,chronic low mood; irritability; low self-esteem; hopelessness; poor concentration; fatigue; decreased productivity; sleep disturbances; appetite changes,mood disorder (chronic depressive type),vata
Bipolar I disorder,Mental health / Psychiatric disorders,mania: elevated mood; grandiosity; decreased need for sleep; racing thoughts; risky behavior; pressured speech; irritability; depression: sadness; guilt; fatigue; suicidal ideation,mood disorder (bipolar spectrum),vata;pitta
Bipolar II disorder,Mental health / Psychiatric disorders,hypomanic episodes: increased energy; impulsivity; decreased sleep; talkativeness; distractibility; depressive episodes: sadness; anhedonia; fatigue; hopelessness,mood disorder (bipolar spectrum),vata;pitta
Cyclothymic disorder,Mental health / Psychiatric disorders,chronic mood fluctuations; mild depression; hypomania; irritability; sleep disturbance; low motivation; inconsistent energy levels,"mood disorder (bipolar spectrum, mild)",vata
Seasonal affective disorder,Mental health / Psychiatric disorders,low mood in winter; hypersomnia; fatigue; carbohydrate cravings; weight gain; loss of concentration; hopelessness; irritability,mood disorder (seasonal type),kapha;vata
Premenstrual dysphoric disorder,Mental health / Psychiatric disorders,mood swings; irritability; depression; anxiety; tension; fatigue; sleep changes; food cravings; bloating; headaches; breast tenderness,mood disorder (hormonal-related),pitta;kapha
Postpartum depression,Mental health / Psychiatric disorders,persistent sadness; tearfulness; anxiety; irritability; sleep and appetite disturbances; bonding difficulties; inadequacy; guilt; suicidal thoughts,mood disorder (peripartum onset),vata;pitta
Generalized anxiety disorder,Mental health / Psychiatric disorders,excessive worry; restlessness; muscle tension; fatigue; irritability; poor concentration; sleep disturbance; headaches; sweating; palpitations,anxiety disorder,vata
Panic disorder,Mental health / Psychiatric disorders,sudden panic attacks; chest pain; palpitations; shortness of breath; dizziness; sweating; depersonalization; fear of dying; trembling; chills,anxiety disorder,vata;pitta
Agoraphobia,Mental health / Psychiatric disorders,fear of open/crowded places; fear of public transport; fear of being outside alone; avoidance; panic symptoms; dizziness; palpitations; sweating; nausea,anxiety disorder (phobic type),vata
Specific phobia,Mental health / Psychiatric disorders,marked fear of object/situation; immediate anxiety; avoidance; excessive worry; trembling; sweating; palpitations,anxiety disorder (phobic type),vata
Social anxiety disorder,Mental health / Psychiatric disorders,fear of scrutiny; fear of embarrassment; avoidance; blushing; trembling; sweating; nausea; rumination; impaired performance,anxiety disorder (social phobia),vata
Separation anxiety disorder,Mental health / Psychiatric disorders,distress on separation; worry about losing attachment; refusal to leave home; nightmares; somatic complaints,anxiety disorder (attachment-related),vata
Selective mutism,Mental health / Psychiatric disorders,failure to speak in certain situations; withdrawal; shyness; fearfulness; somatic tension; school/work impairment,anxiety disorder (childhood-onset),vata
Obsessive–compulsive disorder,Mental health / Psychiatric disorders,"obsessions; compulsions (checking, washing, counting); anxiety relief after rituals; perfectionism; indecisiveness; avoidance",obsessive–compulsive and related disorders,vata;pitta
Body dysmorphic disorder,Mental health / Psychiatric disorders,preoccupation with defects; mirror checking; camouflaging; shame; social avoidance; grooming; skin picking,obsessive–compulsive and related disorders,pitta;vata
Hoarding disorder,Mental health / Psychiatric disorders,difficulty discarding possessions; cluttered living space; distress discarding; indecision; procrastination; impaired function,obsessive–compulsive and related disorders,kapha;vata
Trichotillomania,Mental health / Psychiatric disorders,recurrent hair pulling; hair loss; tension before; relief after; shame; avoidance,obsessive–compulsive and related disorders,vata;pitta
Excoriation disorder,Mental health / Psychiatric disorders,recurrent skin picking; lesions; urges; infections; distress; avoidance,obsessive–compulsive and related disorders,pitta;vata
Post-traumatic stress disorder,Mental health / Psychiatric disorders,intrusive memories; nightmares; flashbacks; hypervigilance; avoidance; negative mood; sleep disturbance; irritability,trauma- and stressor-related disorders,vata;pitta
Acute stress disorder,Mental health / Psychiatric disorders,intrusive memories; dissociation; avoidance; arousal; anxiety; impaired concentration (within 3–30 days),trauma- and stressor-related disorders,vata;pitta
Adjustment disorder with anxiety,Mental health / Psychiatric disorders,worry; nervousness; restlessness; sleep disturbance; somatic tension; impairment after stressor,trauma- and stressor-related disorders,vata
Dissociative identity disorder,Mental health / Psychiatric disorders,two or more identities; amnesia; depersonalization; derealization; time loss; distress,dissociative disorders,vata
Dissociative amnesia,Mental health / Psychiatric disorders,inability to recall autobiographical info; memory gaps; confusion; fugue states,dissociative disorders,vata
Depersonalization–derealization disorder,Mental health / Psychiatric disorders,detachment from self; unreality of surroundings; intact reality testing; anxiety; dizziness,dissociative disorders,vata
Schizophrenia,Mental health / Psychiatric disorders,delusions; hallucinations; disorganized speech; disorganized/catatonic behavior; negative symptoms; cognitive deficits; withdrawal,schizophrenia spectrum and other psychotic disorders,vata;pitta
Schizoaffective disorder,Mental health / Psychiatric disorders,schizophrenia symptoms plus mood episodes; residual negative symptoms; cognitive impairment,schizophrenia spectrum and other psychotic disorders,vata;pitta
Schizophreniform disorder,Mental health / Psychiatric disorders,schizophrenia-like symptoms 1–6 months; delusions; hallucinations; disorganized speech; negative symptoms,schizophrenia spectrum and other psychotic disorders,vata
Brief psychotic disorder,Mental health / Psychiatric disorders,sudden delusions; hallucinations; disorganized speech; emotional lability; <1 month,schizophrenia spectrum and other psychotic disorders,vata
Delusional disorder,Mental health / Psychiatric disorders,persistent delusions; minimal hallucinations; preserved functioning; irritability; jealousy/persecution themes,schizophrenia spectrum and other psychotic disorders,vata
Catatonia (psychiatric type),Mental health / Psychiatric disorders,stupor; mutism; waxy flexibility; negativism; posturing; mannerisms; echolalia; agitation,schizophrenia spectrum and other psychotic disorders (catatonic syndrome),vata;kapha
Anorexia nervosa,Mental health / Psychiatric disorders,restrictive eating; weight loss; fear of weight gain; body image distortion; amenorrhea; cold intolerance; bradycardia,feeding and eating disorders,vata;pitta
Bulimia nervosa,Mental health / Psychiatric disorders,binge eating; compensatory behaviors; weight/shape concerns; parotid swelling; enamel erosion; electrolyte imbalance,feeding and eating disorders,pitta;kapha
Binge-eating disorder,Mental health / Psychiatric disorders,binge episodes; eating rapidly; guilt/shame; no compensatory behavior; weight gain,feeding and eating disorders,kapha
Avoidant/restrictive food intake disorder,Mental health / Psychiatric disorders,avoidance of food; sensory issues; nutritional deficiency; weight loss; poor growth; psychosocial impairment,feeding and eating disorders,kapha;vata
Pica (psychogenic type),Mental health / Psychiatric disorders,eating nonnutritive substances; deficiencies; dental/GI problems,feeding and eating disorders,kapha;vata
Rumination disorder,Mental health / Psychiatric disorders,regurgitation; rechewing; spitting out; weight loss; dental issues; embarrassment,feeding and eating disorders,vata;kapha
Insomnia disorder,Mental health / Psychiatric disorders,difficulty initiating sleep; maintaining sleep; early awakenings; fatigue; irritability; poor concentration,sleep–wake disorders,vata
Hypersomnolence disorder,Mental health / Psychiatric disorders,excessive daytime sleepiness; prolonged nocturnal sleep; unrefreshing naps; low energy,sleep–wake disorders,kapha
Narcolepsy,Mental health / Psychiatric disorders,sleep attacks; cataplexy; sleep paralysis; hypnagogic hallucinations; fragmented sleep,sleep–wake disorders,vata;kapha
Nightmare disorder,Mental health / Psychiatric disorders,dysphoric dreams; full awakenings; vivid recall; fear; insomnia; daytime distress,sleep–wake disorders (parasomnia),pitta;vata
Non-REM sleep arousal disorders,Mental health / Psychiatric disorders,incomplete awakenings; confusion; ambulation; screaming episodes; autonomic arousal; amnesia,sleep–wake disorders (parasomnias),vata
Circadian rhythm sleep–wake disorder,Mental health / Psychiatric disorders,chronic sleep-wake misalignment; insomnia; excessive sleepiness; impaired function; mood changes,sleep–wake disorders,vata;pitta
ADHD,Mental health / Psychiatric disorders,inattention; distractibility; forgetfulness; hyperactivity; impulsivity; disorganization; poor focus; emotional lability,neurodevelopmental disorders,vata
Oppositional defiant disorder,Mental health / Psychiatric disorders,angry mood; argumentative; defiance; vindictiveness; refusal to comply; blaming others; temper outbursts,"disruptive, impulse-control, and conduct disorders",pitta;vata
Conduct disorder,Mental health / Psychiatric disorders,aggression; property destruction; deceit/theft; rule violations; lack of remorse,"disruptive, impulse-control, and conduct disorders",pitta;kapha
Intermittent explosive disorder,Mental health / Psychiatric disorders,impulsive aggressive outbursts; verbal/physical aggression; disproportionate; remorse,"disruptive, impulse-control, and conduct disorders",pitta
Disruptive mood dysregulation disorder,Mental health / Psychiatric disorders,severe temper outbursts; persistent irritability; chronic angry mood; functional impairment,mood disorder (pediatric),pitta;vata
Autism spectrum disorder,Mental health / Psychiatric disorders,communication deficits; repetitive behaviors; sensory sensitivities; insistence on sameness; fixated interests; language delay; stereotypies,neurodevelopmental disorders,vata;kapha
Tourette’s disorder,Mental health / Psychiatric disorders,multiple motor tics; one or more vocal tics; sudden repetitive movements; throat clearing; grunting; shouting; coprolalia; echolalia; symptoms >1 year,tic disorder (neurodevelopmental/psychiatric type),vata
Persistent motor or vocal tic disorder,Mental health / Psychiatric disorders,motor tics (eye blinking; grimacing; shoulder shrugging) or vocal tics (throat clearing; sniffing; grunting); >1 year; onset in childhood,tic disorder (neurodevelopmental),vata
Provisional tic disorder,Mental health / Psychiatric disorders,single or multiple motor/vocal tics; sudden jerks; noises; childhood onset; <1 year duration,tic disorder (neurodevelopmental),vata
Intellectual disability (psychiatric care subtype),Mental health / Psychiatric disorders,deficits in intellectual functioning; impaired adaptive functioning; developmental delay; behavioral problems; psychiatric comorbidities,neurodevelopmental disorder,vata;kapha
Specific learning disorder with behavioral features,Mental health / Psychiatric disorders,persistent difficulty in reading; writing; mathematics; frustration; low self-esteem; distractibility; behavioral outbursts; poor academic achievement,neurodevelopmental disorder (learning type),vata
"Communication disorders (childhood onset, psychiatric impact)",Mental health / Psychiatric disorders,stuttering; limited vocabulary; poor sentence structure; difficulty understanding language; social impairment; anxiety; withdrawal,neurodevelopmental disorder (communication type),vata
Stereotypic movement disorder,Mental health / Psychiatric disorders,repetitive nonfunctional movements (hand waving; rocking; head banging); risk of self-injury; social impairment; childhood onset,neurodevelopmental disorder (movement type),vata
Alzheimer’s disease with behavioral disturbance,Mental health / Psychiatric disorders,progressive memory loss; disorientation; language deficits; poor judgment; agitation; aggression; paranoia; hallucinations; wandering; sleep disturbance,neurocognitive disorder (dementia type),vata;kapha
Frontotemporal dementia with psychiatric symptoms,Mental health / Psychiatric disorders,personality changes; disinhibition; apathy; compulsive behaviors; poor judgment; language impairment; aggression; mood swings,neurocognitive disorder (dementia type),vata;pitta
Vascular dementia with mood disturbance,Mental health / Psychiatric disorders,cognitive decline; stepwise deterioration; poor concentration; slowed thinking; depression; apathy; irritability; anxiety; sleep problems; focal signs,neurocognitive disorder (dementia type),vata
Lewy body dementia with psychosis,Mental health / Psychiatric disorders,fluctuating cognition; visual hallucinations; Parkinsonism; REM sleep disorder; paranoia; delusions; attention fluctuations,neurocognitive disorder (dementia type),vata;pitta
Huntington’s disease with psychiatric features,Mental health / Psychiatric disorders,chorea; irritability; aggression; depression; apathy; cognitive decline; OCD symptoms; psychosis,neurocognitive disorder (genetic neurodegenerative type),vata
Parkinson’s disease psychosis,Mental health / Psychiatric disorders,visual hallucinations; delusions; paranoia; confusion; depression; sleep disturbance; mood swings; cognitive decline; anxiety,neurocognitive disorder (neurodegenerative type),vata
Mild neurocognitive disorder (psychiatric type),Mental health / Psychiatric disorders,mild memory impairment; poor attention; word-finding issues; irritability; anxiety; depressive symptoms; independence preserved,neurocognitive disorder,vata
Delirium due to psychiatric medication,Mental health / Psychiatric disorders,acute confusion; fluctuating consciousness; disorientation; hallucinations; agitation; sleep-wake disturbance; impaired attention,neurocognitive disorder (delirium type),vata;pitta
Substance-induced psychotic disorder,Mental health / Psychiatric disorders,hallucinations; delusions; agitation; paranoia; disorganized thinking; aggression; impaired judgment during/after substance use,substance-related and addictive disorders,vata;pitta
Alcohol-induced depressive disorder,Mental health / Psychiatric disorders,sadness; hopelessness; fatigue; poor sleep; guilt; suicidal thoughts; irritability; cognitive slowing during/after alcohol use,substance-related and addictive disorders,vata;kapha
Cannabis-induced anxiety disorder,Mental health / Psychiatric disorders,worry; panic attacks; palpitations; tremors; derealization; paranoia; poor concentration; irritability after cannabis use,substance-related and addictive disorders,vata
