Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Saint Louis encephalitis,Tropical diseases,fever; headache; nausea; vomiting; confusion; tremors; seizures; neck stiffness; photophobia; encephalitis; coma,Viral diseases (Arboviral encephalitis),vata,fever headache nausea vomiting confusion tremors seizures neck stiffness photophobia encephalitis coma,vata
Eastern equine encephalitis,Tropical diseases,sudden fever; chills; headache; myalgia; vomiting; photophobia; seizures; confusion; coma; high mortality,Viral diseases (Arboviral encephalitis),vata,sudden fever chills headache myalgia vomiting photophobia seizures confusion coma high mortality,vata
Powassan virus disease,Tropical diseases,fever; headache; vomiting; weakness; confusion; seizures; speech difficulty; memory problems; coma; long-term neurological deficits,Viral diseases (Tick-borne encephalitis),vata,fever headache vomiting weakness confusion seizures speech difficulty memory problems coma long term neurological deficits,vata
Tick-borne encephalitis,Tropical diseases,biphasic illness (fever; myalgia; headache → neurological phase); meningitis; encephalitis; myelitis; paralysis; coma,Viral diseases (Tick-borne encephalitis),vata,biphasic illness fever myalgia headache neurological phase meningitis encephalitis myelitis paralysis coma,vata
Trypanosomiasis (African sleeping sickness),Tropical diseases,fever; headache; joint pain; itching; lymphadenopathy (Winterbottom’s sign); weight loss; confusion; personality changes; sleep disturbances; tremors; paralysis; coma,Parasitic diseases (Protozoal; vector-borne),vata,fever headache joint pain itching lymphadenopathy winterbottom s sign weight loss confusion personality changes sleep disturbances tremors paralysis coma,vata
American trypanosomiasis (Chagas disease),Tropical diseases,fever; malaise; eyelid swelling (Romaña’s sign); hepatosplenomegaly; lymphadenopathy; arrhythmias; cardiomyopathy; megacolon; megaesophagus; heart failure,Parasitic diseases (Protozoal; vector-borne),vata,fever malaise eyelid swelling roma a s sign hepatosplenomegaly lymphadenopathy arrhythmias cardiomyopathy megacolon megaesophagus heart failure,vata
Leishmaniasis (visceral/kala-azar; cutaneous; mucocutaneous),Tropical diseases,prolonged fever; weight loss; hepatosplenomegaly; anemia; skin ulcers (cutaneous); mucosal destruction (mucocutaneous); fatigue; dark skin pigmentation (kala-azar),Parasitic diseases (Protozoal; vector-borne),pitta,prolonged fever weight loss hepatosplenomegaly anemia skin ulcers cutaneous mucosal destruction mucocutaneous fatigue dark skin pigmentation kala azar,pitta
Schistosomiasis (S. mansoni; haematobium; japonicum; intercalatum; mekongi),Tropical diseases,rash (swimmer’s itch); fever; chills; cough; hepatosplenomegaly; portal hypertension; hematuria (S. haematobium); bladder fibrosis; infertility; seizures (ectopic lesions),Parasitic diseases (Helminthic; fluke infection),pitta,rash swimmer s itch fever chills cough hepatosplenomegaly portal hypertension hematuria s haematobium bladder fibrosis infertility seizures ectopic lesions,pitta
Onchocerciasis (river blindness),Tropical diseases,severe itching; skin depigmentation (leopard skin); nodules; eye pain; conjunctivitis; keratitis; progressive vision loss; blindness,Parasitic diseases (Helminthic; filarial infection),vata,severe itching skin depigmentation leopard skin nodules eye pain conjunctivitis keratitis progressive vision loss blindness,vata
Lymphatic filariasis (Wuchereria bancrofti; Brugia malayi; Brugia timori),Tropical diseases,recurrent fever; lymphadenitis; elephantiasis (limb/genital swelling); hydrocele; chyluria; skin thickening; fatigue,Parasitic diseases (Helminthic; filarial infection),kapha,recurrent fever lymphadenitis elephantiasis limb genital swelling hydrocele chyluria skin thickening fatigue,kapha
Loiasis (African eye worm),Tropical diseases,migrating swelling (Calabar swelling); itching; fatigue; joint pain; worm migration across eye; hives; eosinophilia; headache; chest pain,Parasitic diseases (Helminthic; filarial infection),vata,migrating swelling calabar swelling itching fatigue joint pain worm migration across eye hives eosinophilia headache chest pain,vata
Dracunculiasis (Guinea worm disease),Tropical diseases,painful blister on lower limb; burning sensation; fever; nausea; vomiting; diarrhea; secondary bacterial infection; disability,Parasitic diseases (Helminthic),pitta,painful blister on lower limb burning sensation fever nausea vomiting diarrhea secondary bacterial infection disability,pitta
Strongyloidiasis,Tropical diseases,abdominal pain; diarrhea; constipation; weight loss; cough; wheezing; skin rash (larva currens); anemia; sepsis (hyperinfection),Parasitic diseases (Helminthic; nematode infection),vata,abdominal pain diarrhea constipation weight loss cough wheezing skin rash larva currens anemia sepsis hyperinfection,vata
Hookworm infection (Ancylostoma duodenale; Necator americanus),Tropical diseases,itching at entry site (ground itch); abdominal pain; diarrhea; iron deficiency anemia; fatigue; pallor; growth retardation (children); edema,Parasitic diseases (Helminthic; nematode infection),vata,itching at entry site ground itch abdominal pain diarrhea iron deficiency anemia fatigue pallor growth retardation children edema,vata
Ascariasis (Ascaris lumbricoides),Tropical diseases,abdominal pain; bloating; nausea; vomiting; intestinal obstruction; cough (Löffler’s syndrome); fever; malnutrition; growth delay (children),Parasitic diseases (Helminthic; nematode infection),vata,abdominal pain bloating nausea vomiting intestinal obstruction cough l ffler s syndrome fever malnutrition growth delay children,vata
Trichuriasis (whipworm),Tropical diseases,abdominal pain; diarrhea; rectal prolapse (severe); anemia; growth retardation; tenesmus; weight loss,Parasitic diseases (Helminthic; nematode infection),vata,abdominal pain diarrhea rectal prolapse severe anemia growth retardation tenesmus weight loss,vata
Enterobiasis (pinworm),Tropical diseases,perianal itching (worse at night); disturbed sleep; irritability; abdominal pain; nausea; weight loss (rare); vulvovaginitis (in girls),Parasitic diseases (Helminthic; nematode infection),vata,perianal itching worse at night disturbed sleep irritability abdominal pain nausea weight loss rare vulvovaginitis in girls,vata
Angiostrongyliasis (rat lungworm disease),Tropical diseases,headache; stiff neck; nausea; vomiting; abdominal pain; paresthesia; vision changes; eosinophilic meningitis; fatigue,Parasitic diseases (Helminthic; nematode infection),vata,headache stiff neck nausea vomiting abdominal pain paresthesia vision changes eosinophilic meningitis fatigue,vata
Echinococcosis (hydatid disease),Tropical diseases,liver cysts (abdominal pain; hepatomegaly; jaundice); lung cysts (cough; chest pain; hemoptysis); anaphylaxis (cyst rupture); fatigue; weight loss,Parasitic diseases (Helminthic; tapeworm infection),kapha,liver cysts abdominal pain hepatomegaly jaundice lung cysts cough chest pain hemoptysis anaphylaxis cyst rupture fatigue weight loss,kapha
Taeniasis (Taenia solium; saginata),Tropical diseases,abdominal pain; nausea; diarrhea; weight loss; proglottids in stool; malnutrition,Parasitic diseases (Helminthic; tapeworm infection),vata,abdominal pain nausea diarrhea weight loss proglottids in stool malnutrition,vata
Cysticercosis (neurocysticercosis),Tropical diseases,seizures; headache; hydrocephalus; focal neurological deficits; confusion; visual disturbances; subcutaneous nodules,Parasitic diseases (Helminthic; tissue tapeworm infection),vata,seizures headache hydrocephalus focal neurological deficits confusion visual disturbances subcutaneous nodules,vata
Fascioliasis (liver fluke),Tropical diseases,fever; right upper quadrant pain; hepatomegaly; jaundice; nausea; vomiting; diarrhea; urticaria; weight loss; biliary obstruction,Parasitic diseases (Helminthic; trematode infection),pitta,fever right upper quadrant pain hepatomegaly jaundice nausea vomiting diarrhea urticaria weight loss biliary obstruction,pitta
Fasciolopsiasis (intestinal fluke),Tropical diseases,abdominal pain; diarrhea; nausea; vomiting; malabsorption; weight loss; ascites (severe); edema,Parasitic diseases (Helminthic; trematode infection),vata,abdominal pain diarrhea nausea vomiting malabsorption weight loss ascites severe edema,vata
Paragonimiasis (lung fluke),Tropical diseases,chronic cough; hemoptysis; chest pain; fever; dyspnea; pleural effusion; seizures (ectopic CNS involvement); abdominal pain,Parasitic diseases (Helminthic; trematode infection),vata,chronic cough hemoptysis chest pain fever dyspnea pleural effusion seizures ectopic cns involvement abdominal pain,vata
Clonorchiasis (Chinese liver fluke),Tropical diseases,right upper quadrant pain; jaundice; hepatomegaly; anorexia; diarrhea; fatigue; biliary obstruction; cholangiocarcinoma (long-term),Parasitic diseases (Helminthic; trematode infection),pitta,right upper quadrant pain jaundice hepatomegaly anorexia diarrhea fatigue biliary obstruction cholangiocarcinoma long term,pitta
Opisthorchiasis (SE Asia liver fluke),Tropical diseases,abdominal pain; diarrhea; jaundice; hepatomegaly; pruritus; fatigue; biliary obstruction; cholangiocarcinoma (long-term),Parasitic diseases (Helminthic; trematode infection),pitta,abdominal pain diarrhea jaundice hepatomegaly pruritus fatigue biliary obstruction cholangiocarcinoma long term,pitta
Capillariasis (intestinal; hepatic),Tropical diseases,abdominal pain; diarrhea; weight loss; malnutrition; hepatomegaly; ascites (hepatic form); anemia,Parasitic diseases (Helminthic; nematode infection),vata,abdominal pain diarrhea weight loss malnutrition hepatomegaly ascites hepatic form anemia,vata
Amoebiasis (Entamoeba histolytica),Tropical diseases,diarrhea; dysentery (bloody stool); abdominal pain; fever; weight loss; hepatomegaly; liver abscess (fever; right upper quadrant pain); pleural or brain abscess (rare),Parasitic diseases (Protozoal infection),pitta,diarrhea dysentery bloody stool abdominal pain fever weight loss hepatomegaly liver abscess fever right upper quadrant pain pleural or brain abscess rare,pitta
Isosporiasis (Cystoisospora belli),Tropical diseases,watery diarrhea; abdominal pain; cramping; anorexia; weight loss; nausea; low-grade fever; malabsorption; prolonged disease in immunocompromised,Parasitic diseases (Protozoal—intestinal),pitta,watery diarrhea abdominal pain cramping anorexia weight loss nausea low grade fever malabsorption prolonged disease in immunocompromised,pitta
Cyclospora infection,Tropical diseases,prolonged watery diarrhea; appetite loss; weight loss; bloating; cramping; nausea; vomiting; fatigue; low-grade fever; relapsing course,Parasitic diseases (Protozoal—intestinal),pitta,prolonged watery diarrhea appetite loss weight loss bloating cramping nausea vomiting fatigue low grade fever relapsing course,pitta
Blastocystis infection,Tropical diseases,diarrhea; abdominal pain; bloating; flatulence; nausea; fatigue; anorexia; variable asymptomatic carriage,Parasitic diseases (Protozoal—intestinal),vata,diarrhea abdominal pain bloating flatulence nausea fatigue anorexia variable asymptomatic carriage,vata
Microsporidiosis,Tropical diseases,chronic watery diarrhea; abdominal pain; weight loss; malabsorption; fever (sometimes); cholangitis/keratoconjunctivitis (species-specific); wasting in immunocompromised,Parasitic diseases (Microsporidia—opportunistic),pitta,chronic watery diarrhea abdominal pain weight loss malabsorption fever sometimes cholangitis keratoconjunctivitis species specific wasting in immunocompromised,pitta
Yaws (Treponema pertenue),Tropical diseases,painless skin papules; ulcerative lesions (“mother yaw”); multiple papillomatous lesions; bone/joint pain; periostitis; deformities (late); lymphadenopathy,Bacterial diseases (Nonvenereal treponematosis),pitta,painless skin papules ulcerative lesions mother yaw multiple papillomatous lesions bone joint pain periostitis deformities late lymphadenopathy,pitta
Pinta (Treponema carateum),Tropical diseases,pruritic papules; hypopigmented/hyperpigmented patches; skin thickening; cosmetic discoloration; no visceral involvement,Bacterial diseases (Nonvenereal treponematosis),pitta,pruritic papules hypopigmented hyperpigmented patches skin thickening cosmetic discoloration no visceral involvement,pitta
Endemic syphilis (Bejel),Tropical diseases,mucosal lesions; oral ulcers; pharyngitis; skin papules/plaques; gummatous lesions (late); bone pain; periostitis; lymphadenopathy,Bacterial diseases (Nonvenereal treponematosis),pitta,mucosal lesions oral ulcers pharyngitis skin papules plaques gummatous lesions late bone pain periostitis lymphadenopathy,pitta
Buruli ulcer (Mycobacterium ulcerans),Tropical diseases,painless subcutaneous nodule/plaque; progressive ulcer with undermined edges; edema; limited fever; scarring; contractures (late),Bacterial diseases (Mycobacterial),pitta,painless subcutaneous nodule plaque progressive ulcer with undermined edges edema limited fever scarring contractures late,pitta
Leprosy (Hansen’s disease),Tropical diseases,hypopigmented or erythematous anesthetic skin patches; thickened peripheral nerves; paresthesia; muscle weakness; clawing; nodules; nasal stuffiness/epistaxis; madarosis; reactional episodes (ENL),Bacterial diseases (Mycobacterial),vata,hypopigmented or erythematous anesthetic skin patches thickened peripheral nerves paresthesia muscle weakness clawing nodules nasal stuffiness epistaxis madarosis reactional episodes enl,vata
Tropical phagedenic ulcer,Tropical diseases,rapidly spreading painful leg ulcer; foul discharge; fever (sometimes); lymphangitis; scarring; disability,Bacterial diseases (Polymicrobial skin/soft tissue),pitta,rapidly spreading painful leg ulcer foul discharge fever sometimes lymphangitis scarring disability,pitta
Mycetoma (eumycetoma; actinomycetoma),Tropical diseases,chronic painless subcutaneous mass; multiple draining sinuses; grains in discharge; swelling; deformity; bone involvement; disability,Fungal/Bacterial diseases (Subcutaneous infection),kapha,chronic painless subcutaneous mass multiple draining sinuses grains in discharge swelling deformity bone involvement disability,kapha
Chromoblastomycosis,Tropical diseases,slow-growing verrucous plaques/nodules; pruritus; secondary bacterial infection; lymphedema; scarring,Fungal diseases (Subcutaneous mycosis),kapha,slow growing verrucous plaques nodules pruritus secondary bacterial infection lymphedema scarring,kapha
Sporotrichosis (fixed cutaneous; tropical endemic forms),Tropical diseases,nodular/ulcerative lesion at inoculation site; lymphangitic spread (sporotrichoid); mild pain; low-grade fever (rare),Fungal diseases (Subcutaneous mycosis),pitta,nodular ulcerative lesion at inoculation site lymphangitic spread sporotrichoid mild pain low grade fever rare,pitta
Histoplasmosis (capsulatum; duboisii in Africa),Tropical diseases,fever; cough; chest pain; fatigue; weight loss; hepatosplenomegaly; lymphadenopathy; mucocutaneous lesions (duboisii); disseminated disease in immunocompromised,Fungal diseases (Systemic dimorphic),pitta,fever cough chest pain fatigue weight loss hepatosplenomegaly lymphadenopathy mucocutaneous lesions duboisii disseminated disease in immunocompromised,pitta
Coccidioidomycosis (endemic in arid tropical zones),Tropical diseases,fever; cough; chest pain; fatigue; night sweats; erythema nodosum; arthralgia (“desert rheumatism”); rash; meningitis or dissemination (severe),Fungal diseases (Systemic dimorphic),pitta,fever cough chest pain fatigue night sweats erythema nodosum arthralgia desert rheumatism rash meningitis or dissemination severe,pitta
Blastomycosis (North American; but tropical cases too),Tropical diseases,fever; cough; weight loss; chest pain; skin verrucous lesions/ulcers; bone pain; GU/prostate involvement; disseminated disease,Fungal diseases (Systemic dimorphic),pitta,fever cough weight loss chest pain skin verrucous lesions ulcers bone pain gu prostate involvement disseminated disease,pitta
Paracoccidioidomycosis (South America),Tropical diseases,chronic cough; weight loss; fever; oral/nasal mucosal ulcers with hemorrhagic dots; lymphadenopathy; skin lesions; hepatosplenomegaly; adrenal involvement,Fungal diseases (Systemic dimorphic),pitta,chronic cough weight loss fever oral nasal mucosal ulcers with hemorrhagic dots lymphadenopathy skin lesions hepatosplenomegaly adrenal involvement,pitta
Talaromycosis (Penicillium marneffei),Tropical diseases,fever; weight loss; cough; anemia; hepatosplenomegaly; molluscum-like skin lesions; lymphadenopathy; diarrhea; opportunistic in HIV,Fungal diseases (Opportunistic systemic),pitta,fever weight loss cough anemia hepatosplenomegaly molluscum like skin lesions lymphadenopathy diarrhea opportunistic in hiv,pitta
Rhinosporidiosis,Tropical diseases,polypoid friable nasal masses; recurrent epistaxis; nasal obstruction; sneezing; conjunctival masses (ocular); local discomfort,Fungal-like diseases (Aquatic protistan infection),kapha,polypoid friable nasal masses recurrent epistaxis nasal obstruction sneezing conjunctival masses ocular local discomfort,kapha
Pythiosis (Pythium insidiosum),Tropical diseases,chronic necrotic skin ulcers; sinus tracts; vascular thrombosis/limb ischemia (vascular form); ocular keratitis; severe pain; fever (variable),Oomycete infection (Water-associated),pitta,chronic necrotic skin ulcers sinus tracts vascular thrombosis limb ischemia vascular form ocular keratitis severe pain fever variable,pitta
Melioidosis (Burkholderia pseudomallei),Tropical diseases,fever; cough; chest pain; weight loss; abscesses (lung; liver; spleen; skin); sepsis; arthralgia; myositis; neurologic disease; relapsing course,Bacterial diseases (Environmental gram-negative),pitta,fever cough chest pain weight loss abscesses lung liver spleen skin sepsis arthralgia myositis neurologic disease relapsing course,pitta
Glanders (Burkholderia mallei),Tropical diseases,high fever; rigors; pneumonia; cough; chest pain; mucopurulent nasal discharge/ulcers; skin nodules/ulcers; septicemia; shock,Bacterial diseases (Zoonotic),pitta,high fever rigors pneumonia cough chest pain mucopurulent nasal discharge ulcers skin nodules ulcers septicemia shock,pitta
Tropical pyomyositis (Staphylococcus aureus),Tropical diseases,localized muscle pain; swelling; warmth; fever; malaise; abscess formation; limited range of motion,Bacterial diseases (Muscle infection),pitta,localized muscle pain swelling warmth fever malaise abscess formation limited range of motion,pitta
Scrub typhus (Orientia tsutsugamushi),Tropical diseases,fever; headache; myalgia; cough; eschar at bite; rash; lymphadenopathy; hepatosplenomegaly; delirium; pneumonitis; meningoencephalitis (severe),Rickettsial diseases (Mite-borne),pitta,fever headache myalgia cough eschar at bite rash lymphadenopathy hepatosplenomegaly delirium pneumonitis meningoencephalitis severe,pitta
Murine typhus (Rickettsia typhi),Tropical diseases,fever; headache; myalgia; rash (trunk); cough; nausea; vomiting; abdominal pain; hepatosplenomegaly,Rickettsial diseases (Flea-borne),pitta,fever headache myalgia rash trunk cough nausea vomiting abdominal pain hepatosplenomegaly,pitta
Epidemic typhus (tropical reemergence),Tropical diseases,abrupt high fever; severe headache; myalgia; rash (trunk → extremities); cough; delirium; hypotension; stupor,Rickettsial diseases (Louse-borne),pitta,abrupt high fever severe headache myalgia rash trunk extremities cough delirium hypotension stupor,pitta
Rocky Mountain spotted fever (tropical American foci),Tropical diseases,high fever; severe headache; myalgia; nausea; vomiting; abdominal pain; rash (wrists/ankles → trunk; palms/soles); confusion; hypotension,Rickettsial diseases (Tick-borne),pitta,high fever severe headache myalgia nausea vomiting abdominal pain rash wrists ankles trunk palms soles confusion hypotension,pitta
Boutonneuse fever (Mediterranean spotted fever),Tropical diseases,fever; headache; myalgia; tache noire (eschar); rash; lymphadenopathy; malaise,Rickettsial diseases (Tick-borne),pitta,fever headache myalgia tache noire eschar rash lymphadenopathy malaise,pitta
Tick typhus (African spotted fever),Tropical diseases,fever; headache; myalgia; eschar(s); regional lymphadenopathy; rash (variable); malaise,Rickettsial diseases (Tick-borne),pitta,fever headache myalgia eschar s regional lymphadenopathy rash variable malaise,pitta
Tsutsugamushi fever (Orientia infection; SE Asia tropics),Tropical diseases,fever; severe headache; myalgia; cough; eschar; rash; lymphadenopathy; hepatosplenomegaly; CNS involvement (severe),Rickettsial diseases (Mite-borne),pitta,fever severe headache myalgia cough eschar rash lymphadenopathy hepatosplenomegaly cns involvement severe,pitta
Relapsing fever (Borrelia species; tropical),Tropical diseases,recurrent episodes of high fever with chills; severe headache; myalgia; arthralgia; nausea; vomiting; hepatosplenomegaly; jaundice (sometimes); rash; hypotension,Bacterial diseases (Spirochetal—louse/tick-borne),pitta,recurrent episodes of high fever with chills severe headache myalgia arthralgia nausea vomiting hepatosplenomegaly jaundice sometimes rash hypotension,pitta
Plague (Yersinia pestis; tropical Africa/Madagascar foci),Tropical diseases,sudden high fever; chills; severe malaise; painful swollen lymph nodes (buboes); headache; myalgia; cough/hemoptysis (pneumonic); septicemia; shock; delirium,Bacterial diseases (Zoonotic),pitta,sudden high fever chills severe malaise painful swollen lymph nodes buboes headache myalgia cough hemoptysis pneumonic septicemia shock delirium,pitta
Anthrax (cutaneous; inhalational; gastrointestinal; tropical zones),Tropical diseases,cutaneous painless black eschar with edema; fever; lymphadenopathy; inhalational fever; dyspnea; chest pain; mediastinitis; shock; GI abdominal pain; bloody diarrhea; vomiting; oropharyngeal ulcers,Bacterial diseases (Zoonotic),pitta,cutaneous painless black eschar with edema fever lymphadenopathy inhalational fever dyspnea chest pain mediastinitis shock gi abdominal pain bloody diarrhea vomiting oropharyngeal ulcers,pitta
Brucellosis (zoonotic; tropical regions),Tropical diseases,undulating fever; night sweats (damp odor); fatigue; arthralgia; back pain; hepatosplenomegaly; lymphadenopathy; weight loss; orchitis; endocarditis (rare),Bacterial diseases (Zoonotic),pitta,undulating fever night sweats damp odor fatigue arthralgia back pain hepatosplenomegaly lymphadenopathy weight loss orchitis endocarditis rare,pitta
Tularemia (Francisella tularensis; tropical exposures),Tropical diseases,fever; chills; ulceroglandular skin lesion with painful nodes; sore throat; cough; chest pain (pneumonic); conjunctivitis; abdominal pain; diarrhea,Bacterial diseases (Zoonotic),pitta,fever chills ulceroglandular skin lesion with painful nodes sore throat cough chest pain pneumonic conjunctivitis abdominal pain diarrhea,pitta
Salmonellosis (typhoid fever),Tropical diseases,stepwise fever; headache; malaise; abdominal pain; constipation or diarrhea; relative bradycardia; rose spots; hepatosplenomegaly; cough; delirium (severe); GI bleeding/perforation (late),Bacterial diseases (Enteric fever),pitta,stepwise fever headache malaise abdominal pain constipation or diarrhea relative bradycardia rose spots hepatosplenomegaly cough delirium severe gi bleeding perforation late,pitta
Paratyphoid fever (A; B; C),Tropical diseases,sustained fever; headache; abdominal pain; diarrhea or constipation; malaise; rose spots (less common); hepatosplenomegaly,Bacterial diseases (Enteric fever),pitta,sustained fever headache abdominal pain diarrhea or constipation malaise rose spots less common hepatosplenomegaly,pitta
Shigellosis (bacillary dysentery; tropical regions),Tropical diseases,acute diarrhea with blood/mucus; abdominal cramps; tenesmus; fever; nausea; vomiting; seizures in children; dehydration,Bacterial diseases (Enteric),pitta,acute diarrhea with blood mucus abdominal cramps tenesmus fever nausea vomiting seizures in children dehydration,pitta
Cholera (Vibrio cholerae O1; O139),Tropical diseases,sudden profuse watery “rice-water” diarrhea; vomiting; leg cramps; thirst; severe dehydration; sunken eyes; hypotension; shock,Bacterial diseases (Enteric),vata,sudden profuse watery rice water diarrhea vomiting leg cramps thirst severe dehydration sunken eyes hypotension shock,vata
Vibrio vulnificus septicemia (tropical seafood exposure),Tropical diseases,fever; chills; severe myalgia; hypotension; bullous skin lesions; cellulitis/necrotizing fasciitis (wound exposure); GI symptoms; septic shock (rapid),Bacterial diseases (Marine),pitta,fever chills severe myalgia hypotension bullous skin lesions cellulitis necrotizing fasciitis wound exposure gi symptoms septic shock rapid,pitta
Bartonellosis (Oroya fever; Carrion’s disease),Tropical diseases,acute hemolytic anemia with high fever; headache; myalgia; jaundice (Oroya); followed by verrucous skin lesions (Peruana) with nodules/bleeding; malaise; weight loss,Bacterial diseases (Vector-borne),pitta,acute hemolytic anemia with high fever headache myalgia jaundice oroya followed by verrucous skin lesions peruana with nodules bleeding malaise weight loss,pitta
Rickettsialpox (urban tropical settings),Tropical diseases,fever; headache; myalgia; eschar at bite; vesicular rash; photophobia; malaise; lymphadenopathy,Rickettsial diseases (Mite-borne),pitta,fever headache myalgia eschar at bite vesicular rash photophobia malaise lymphadenopathy,pitta
Psittacosis (ornithosis; zoonotic in tropics),Tropical diseases,fever; severe headache; dry cough; myalgia; atypical pneumonia; chest pain; hepatosplenomegaly; relative bradycardia; rash (sometimes),Bacterial diseases (Zoonotic respiratory),pitta,fever severe headache dry cough myalgia atypical pneumonia chest pain hepatosplenomegaly relative bradycardia rash sometimes,pitta
Hantavirus pulmonary syndrome (tropical Americas),Tropical diseases,fever; myalgia; headache; abdominal pain; vomiting; cough; rapidly progressive dyspnea; noncardiogenic pulmonary edema; hypotension; shock,Viral diseases (Rodent-borne),pitta,fever myalgia headache abdominal pain vomiting cough rapidly progressive dyspnea noncardiogenic pulmonary edema hypotension shock,pitta
Arenavirus hemorrhagic fevers (Machupo; Junín; Sabia),Tropical diseases,fever; severe malaise; myalgia; sore throat; bleeding (gingival; GI); petechiae; neurological signs (tremor; confusion); hypotension; shock,Viral diseases (Arenaviridae),pitta,fever severe malaise myalgia sore throat bleeding gingival gi petechiae neurological signs tremor confusion hypotension shock,pitta
Bunyavirus fevers (various tropical strains),Tropical diseases,acute fever; headache; myalgia; nausea; vomiting; photophobia; rash (some); hemorrhagic manifestations or encephalitis depending on strain,Viral diseases (Bunyaviridae),pitta,acute fever headache myalgia nausea vomiting photophobia rash some hemorrhagic manifestations or encephalitis depending on strain,pitta
O’nyong-nyong virus fever,Tropical diseases,sudden fever; severe arthralgia (knees; ankles); rash; lymphadenopathy; myalgia; headache; fatigue; nausea; conjunctivitis (sometimes),Viral diseases (Arboviral—mosquito-borne),vata,sudden fever severe arthralgia knees ankles rash lymphadenopathy myalgia headache fatigue nausea conjunctivitis sometimes,vata
Sandfly fever (phlebotomus fever),tropical diseases,sudden onset of fever; chills; headache; retro-orbital pain; muscle pain; joint pain; photophobia; nausea; vomiting; malaise; fatigue; anorexia; rash (occasionally); lymphadenopathy (rare),Viral diseases (Arboviral—phlebovirus),pitta,sudden onset of fever chills headache retro orbital pain muscle pain joint pain photophobia nausea vomiting malaise fatigue anorexia rash occasionally lymphadenopathy rare,pitta
Sindbis virus infection,tropical diseases,fever; rash (maculopapular; pruritic); arthralgia (knees; wrists; fingers); headache; myalgia; fatigue; lymphadenopathy; nausea; conjunctivitis (sometimes); prolonged joint pain in chronic cases,Viral diseases (Arboviral—alphavirus),vata,fever rash maculopapular pruritic arthralgia knees wrists fingers headache myalgia fatigue lymphadenopathy nausea conjunctivitis sometimes prolonged joint pain in chronic cases,vata
Bwamba fever,tropical diseases,sudden high fever; chills; severe headache; joint pain; muscle pain; nausea; vomiting; photophobia; rash; lymphadenopathy; fatigue; anorexia; mild hemorrhagic manifestations (rare),Viral diseases (Arboviral—bunyavirus),pitta,sudden high fever chills severe headache joint pain muscle pain nausea vomiting photophobia rash lymphadenopathy fatigue anorexia mild hemorrhagic manifestations rare,pitta
Gongylonemiasis,tropical diseases,creeping linear oral mucosal lesions; crawling/foreign body sensation in mouth; lips; oropharynx; mild pain; irritation; occasional bleeding; difficulty swallowing (rare); general malaise,Parasitic diseases (Nematode—roundworm infection),vata,creeping linear oral mucosal lesions crawling foreign body sensation in mouth lips oropharynx mild pain irritation occasional bleeding difficulty swallowing rare general malaise,vata
Gnathostomiasis,tropical diseases,migratory subcutaneous swellings; skin itching; pain; erythema; edema; abdominal pain; nausea; vomiting; diarrhea; fever; fatigue; neurological involvement (paralysis; radiculitis; meningitis; intracranial hemorrhage in severe cases); ocular pain or vision loss if eye is affected,Parasitic diseases (Nematode—tissue infection),vata,migratory subcutaneous swellings skin itching pain erythema edema abdominal pain nausea vomiting diarrhea fever fatigue neurological involvement paralysis radiculitis meningitis intracranial hemorrhage in severe cases ocular pain or vision loss if eye is affected,vata
Trichinellosis (Trichinosis; tropical forms),tropical diseases,abdominal pain; diarrhea; nausea; vomiting (early intestinal phase); fever; periorbital edema; myalgia; weakness; rash; eosinophilia; headache; photophobia; conjunctivitis; difficulty swallowing; chest pain; myocarditis; encephalitis (severe cases),Parasitic diseases (Nematode—tissue infection),pitta,abdominal pain diarrhea nausea vomiting early intestinal phase fever periorbital edema myalgia weakness rash eosinophilia headache photophobia conjunctivitis difficulty swallowing chest pain myocarditis encephalitis severe cases,pitta
Mansonelliasis (Mansonella perstans; streptocerca; ozzardi),tropical diseases,itching; pruritic dermatitis; joint pain; headache; abdominal pain; lymphadenopathy; fatigue; fever (mild; intermittent); skin lesions (papules; nodules); ocular symptoms (conjunctivitis; visual impairment—rare),Parasitic diseases (Nematode—filarial infection),vata,itching pruritic dermatitis joint pain headache abdominal pain lymphadenopathy fatigue fever mild intermittent skin lesions papules nodules ocular symptoms conjunctivitis visual impairment rare,vata
Tungiasis (sand flea infestation),tropical diseases,painful skin lesions (commonly feet; periungual areas); itching; swelling; redness; black central dot (flea body); secondary bacterial infection; ulceration; gangrene (severe; untreated); difficulty walking,Parasitic diseases (Ectoparasitic skin infestation),pitta,painful skin lesions commonly feet periungual areas itching swelling redness black central dot flea body secondary bacterial infection ulceration gangrene severe untreated difficulty walking,pitta
Cutaneous larva migrans (hookworm larvae migration),tropical diseases,intensely itchy serpiginous skin tracks; redness; swelling; burning sensation; vesicles; secondary infection from scratching; localized pain; fatigue (rare systemic symptoms),Parasitic diseases (Nematode—skin infection),vata,intensely itchy serpiginous skin tracks redness swelling burning sensation vesicles secondary infection from scratching localized pain fatigue rare systemic symptoms,vata
Philariasis (non-lymphatic filarial infections; e.g. M. streptocerca),tropical diseases,itchy dermatitis; papular rash; hypopigmented patches; lymphadenopathy; mild fever; fatigue; pruritus; occasional ocular involvement (eye pain; vision changes),Parasitic diseases (Nematode—filarial infection),vata,itchy dermatitis papular rash hypopigmented patches lymphadenopathy mild fever fatigue pruritus occasional ocular involvement eye pain vision changes,vata
